영화코드,영화명,개봉일,제작국가,장르,감독,배우,상영시간,누적 관객수
1,기생충 (PARASITE),2019-05-30,한국,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈",131분 39초,"10,313,163"
2,겨울왕국 (Frozen),2014-01-16,미국,애니메이션,"크리스 벅,제니퍼 리","이디나 멘젤,크리스틴 벨,조나단 그로프,조시 게드",108분 2초,"10,303,058"
3,범죄도시 (THE OUTLAWS),2017-10-03,한국,범죄,강윤성,"마동석,윤계상,조재윤,최귀화,김성규",121분 0초,"6,880,546"
4,극한직업 (Extreme Job),2019-01-23,한국,코미디,이병헌,"류승룡,이하늬,진선규,이동휘,공명,진선규,홍은진",111분 0초,"16,266,338"
5,신과함께-죄와 벌 (Along with the Gods: The Two Worlds),2017-12-20,한국,판타지,김용화,"하정우,차태현,주지훈,김향기,마동석",139분 32초,"14,414,658"
6,베테랑 (Veteran),2015-08-05,한국,액션,류승완,"황정민,유아인,유해진,오달수",123분 41초,"13,414,484"
7,보스 베이비 (The Boss Baby),2017-05-03,미국,애니메이션,톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜",97분 28초,"2,452,245"
8,신세계 (New World),2013-02-21,한국,범죄,박훈정,"이정재,최민식,황정민",134분 0초,"4,689,161"
9,곡성 (THE WAILING),2016-05-12,한국,미스터리,나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희",156분 0초,"6,879,989"
10,관상 (The Face Reader),2013-09-11,한국,사극,한재림,"송강호,이정재,백윤식,조정석,이종석,김혜수",139분 40초,"9,135,806"
11,어벤져스: 인피니티 워 (Avengers: Infinity War),2018-04-25,미국,액션,"안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 웡",149분 9초,"11,233,176"
12,후궁 : 제왕의 첩 (The Concubine),2012-06-06,한국,사극,김대승,"김동욱,김민준,조여정",122분 0초,"2,636,385"
13,도둑들 (The Thieves),2012-07-25,한국,액션,최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상",135분 0초,"12,984,701"
14,럭키 (LUCK-KEY),2016-10-13,한국,코미디,이계벽,"유해진,이준,조윤희,임지연",112분 37초,"6,975,631"
15,암살 (Assassination),2015-07-22,한국,액션,최동훈,"이정재,하정우,전지현",139분 55초,"12,706,829"
16,"광해, 왕이 된 남자 (Masquerade)",2012-09-13,한국,사극,추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤",131분 0초,"12,324,062"
