영화코드,영화명,장르
1,기생충 (PARASITE),드라마
2,겨울왕국 (Frozen),애니메이션
3,범죄도시 (THE OUTLAWS),범죄
4,극한직업 (Extreme Job),코미디
5,신과함께-죄와 벌 (Along with the Gods: The Two Worlds),판타지
6,베테랑 (Veteran),액션
7,보스 베이비 (The Boss Baby),애니메이션
8,신세계 (New World),범죄
9,곡성 (THE WAILING),미스터리
10,관상 (The Face Reader),사극
11,어벤져스: 인피니티 워 (Avengers: Infinity War),액션
12,후궁 : 제왕의 첩 (The Concubine),사극
13,도둑들 (The Thieves),액션
14,럭키 (LUCK-KEY),코미디
15,암살 (Assassination),액션
16,"광해, 왕이 된 남자 (Masquerade)",사극
17,7번방의 선물 (Miracle in Cell No.7),코미디
18,마녀 (The Witch : Part 1. The Subversion),미스터리
19,검사외전 (A Violent Prosecutor),범죄
20,명량 (Roaring Currents),사극
21,부산행 (TRAIN TO BUSAN),액션
22,모아나 (Moana ),애니메이션
23,신과함께-인과 연 (Along with the Gods: The Last 49 Days),판타지
24,어벤져스 (The Avengers),액션
25,엑시트 (EXIT),코미디
26,쥬라기 월드 (Jurassic World),액션
27,수상한 그녀 (Miss Granny),드라마
28,완벽한 타인 (Intimate Strangers),드라마
29,범죄와의 전쟁: 나쁜놈들 전성시대 (Nameless Gangster : Rules of the Time),범죄
30,공조 (Confidential Assignment),액션
31,"악인전 (The Gangster, The Cop, The Devil)",범죄
32,킹스맨 : 시크릿 에이전트 (Kingsman: The Secret Service),액션
33,청년경찰 (Midnight Runners),액션
34,내부자들: 디 오리지널 (Inside Men: The Original),범죄
35,국제시장 (Ode to My Father),드라마
36,택시운전사 (A Taxi Driver),드라마
37,친구 2 (Friend : The Great Legacy),액션
38,주토피아 (Zootopia),애니메이션
39,독전 (Believer),범죄
40,백두산 (ASHFALL),어드벤처
41,간신 (The Treacherous),사극
42,미니언즈 (Minions),애니메이션
43,강철비 (Steel Rain),액션
44,겨울왕국 2 (Frozen 2),애니메이션
45,성난황소 (Unstoppable),범죄
46,아가씨 (The Handmaiden),스릴러
47,어벤져스: 엔드게임 (Avengers: Endgame),액션
48,점박이:한반도의 공룡3D (Speckles: The Tarbosaurus),애니메이션
49,변호인 (The Attorney),드라마
50,알라딘 (Aladdin),어드벤처
51,1987 (1987: When the Day Comes),드라마
52,뽀로로 극장판 컴퓨터 왕국 대모험 (Pororo3 : Cyber Space Adventure),애니메이션
53,건축학개론 (Architecture 101),멜로/로맨스
54,데드풀 (Deadpool),액션
55,쥬라기 월드: 폴른 킹덤 (JURASSIC WORLD: FALLEN KINGDOM),액션
56,꾼 (The Swindlers),범죄
57,해적: 바다로 간 산적 (The Pirates),어드벤처
58,코코 (COCO),애니메이션
59,더 킹 (The King),범죄
60,프리즌 (The Prison),범죄
61,닥터 스트레인지 (Doctor Strange),액션
62,아수라 (Asura : The City of Madness),범죄
63,타짜-신의 손 (Tazza-The Hidden Card),드라마
64,암수살인 (Dark Figure of Crime),범죄
65,연평해전 (Northern Limit Line),드라마
66,안시성 (The Great Battle),사극
67,다만 악에서 구하소서 (DELIVER US FROM EVIL),범죄
68,사도 (The Throne),사극
69,킹스맨: 골든 서클 (Kingsman: The Golden Circle),액션
70,신의 한 수 (The Divine Move),범죄
71,나쁜 녀석들: 더 무비 (The Bad Guys: Reign of Chaos),범죄
72,박수건달 (Man on the Edge),코미디
73,블랙 팬서 (Black Panther),액션
74,토르: 라그나로크 (THOR: RAGNAROK),액션
75,베를린 (The Berlin File),액션
76,스파이더맨: 홈 커밍 (Spider-Man: Homecoming),액션
77,은교 (Eungyo),멜로/로맨스
